Date,SPY,TLT,MSFT
2-3-2009,70.278862,79.514748,14.840392
2-4-2009,69.934799,79.236488,14.944677
2-5-2009,70.975449,79.30603,15.273575
2-6-2009,72.998055,79.058762,15.770925
2-9-2009,73.098785,79.313759,15.594445
2-10-2009,69.750168,81.0373,15.081044
2-11-2009,70.161377,82.088463,15.409939
2-12-2009,70.211754,81.315536,15.450052
2-13-2009,69.456421,79.151451,15.31368
2-17-2009,66.485458,81.616974,14.610998
2-18-2009,66.326019,80.921356,14.635228
2-19-2009,65.612633,79.545639,14.465616
2-20-2009,64.974831,80.31852,14.538306
2-23-2009,62.650105,81.060516,13.900236
2-24-2009,65.025162,80.975479,13.867926
2-25-2009,64.513237,80.040276,13.698318
2-26-2009,63.464176,79.197784,13.262164
2-27-2009,62.045826,78.741837,13.04409
3-2-2009,59.25111,80.045471,12.753325
3-3-2009,58.806328,79.510666,12.826015
3-4-2009,60.199463,79.146378,13.019862
3-5-2009,57.740479,81.347473,12.33333
3-6-2009,57.841171,80.804962,12.341403
3-9-2009,57.161385,80.332207,12.236407
3-10-2009,60.568756,78.789879,13.310626
3-11-2009,60.963192,79.642433,13.81947
3-12-2009,63.363461,80.022179,13.7387
3-13-2009,63.858624,79.619156,13.447937
3-16-2009,63.665588,78.363609,13.124863
3-17-2009,65.612633,77.937325,13.649851
3-18-2009,67.081306,80.890213,13.698318
3-19-2009,66.250473,80.990982,13.843694
3-20-2009,64.839737,80.541504,13.779083
3-23-2009,69.497101,79.843933,14.804838
3-24-2009,68.127792,80.603409,14.481766
3-25-2009,68.846252,79.518448,14.441386
3-26-2009,70.249382,80.440712,15.208687
3-27-2009,68.981499,81.037468,14.643304
3-30-2009,66.597885,81.347473,14.118308
3-31-2009,67.214912,81.928795,14.83715
4-1-2009,68.516624,82.676476,15.596368
4-2-2009,70.519875,81.666039,15.580218
4-3-2009,71.221436,79.994972,15.144067
4-6-2009,70.663589,79.652985,15.152146
4-7-2009,69.015327,79.855042,15.152146
4-8-2009,69.759132,80.56237,15.499451
4-9-2009,72.531586,79.551888,15.887136
4-13-2009,72.548492,80.282532,15.82252
4-14-2009,71.297523,80.702232,15.628674
4-15-2009,72.058235,80.56237,15.208687
4-16-2009,73.114815,79.924973,15.959828
4-17-2009,73.605064,79.046684,15.507525
4-20-2009,70.519875,80.243652,15.030994
4-21-2009,71.897644,79.45089,15.321755
4-22-2009,71.458092,78.968956,15.1683
4-23-2009,72.159668,78.961235,15.281376
4-24-2009,73.250061,78.168419,16.888666
4-27-2009,72.556931,78.502625,16.476748
4-28-2009,72.328728,77.220146,16.097132
4-29-2009,73.867088,76.536186,16.355595
4-30-2009,73.892448,76.233055,16.363672
5-1-2009,74.289711,75.708351,16.347515
5-4-2009,76.817047,75.957825,16.30714
5-5-2009,76.555016,75.864311,15.984058
5-6-2009,77.882072,75.684982,15.984058
5-7-2009,76.800125,73.83728,15.604445
5-8-2009,78.592102,74.016594,15.685222
5-11-2009,77.121361,75.069077,15.604445
5-12-2009,76.893135,75.341927,16.064825
5-13-2009,74.957458,76.160568,15.951754
5-14-2009,75.599869,76.456825,16.202135
5-15-2009,74.982826,76.433395,16.331364
5-18-2009,77.112885,75.248413,16.638281
5-19-2009,77.019913,74.850777,16.508232
5-20-2009,76.504333,75.638206,16.56513
5-21-2009,75.405479,73.735954,16.109953
5-22-2009,75.244873,72.91732,16.053061
5-26-2009,77.172073,71.818092,16.532616
5-27-2009,75.794312,70.54731,16.361931
5-28-2009,76.850853,71.568634,16.622026
5-29-2009,78.211716,73.416275,16.979668
6-1-2009,80.10511,71.245872,17.394199
6-2-2009,80.172737,71.629135,17.394199
6-3-2009,79.158417,72.30172,17.662426
6-4-2009,79.902237,70.807838,17.74371
6-5-2009,79.919136,70.268173,17.99568
6-8-2009,79.589485,70.088203,17.922523
6-9-2009,79.995232,70.080406,17.946915
6-10-2009,79.792366,68.977623,18.328936
6-11-2009,80.147369,69.744087,18.55652
6-12-2009,80.367126,70.369843,18.962929
6-15-2009,78.524475,71.003342,19.036083
6-16-2009,77.459442,72.239174,19.060469
6-17-2009,77.383362,71.832451,19.247416
6-18-2009,77.949692,70.745239,19.101109
6-19-2009,78.237015,71.715141,19.564411
6-22-2009,75.890915,72.411247,18.922291
6-23-2009,75.950424,73.263779,18.97105
6-24-2009,76.604927,72.528564,19.076723
6-25-2009,78.271011,73.858223,19.336823
6-26-2009,78.066986,73.983376,18.979181
6-29-2009,78.798042,74.092873,19.393723
6-30-2009,78.160492,73.967705,19.320572
7-1-2009,78.483513,73.820969,19.540024
7-2-2009,76.341431,73.993607,18.995445
7-6-2009,76.332932,73.852394,18.857262
7-7-2009,74.853867,74.346687,18.312679
